GPT Name,Link,Description,Creator,Language
"Exterminator Helper, Termite Assistant",https://chatgpt.com/g/g-WMAUojjHA-exterminator-helper-termite-assistant,"Hello I'm Exterminator Helper, Termite Assistant! What would you like help with today?"," aikitcentral.com",English
FaceAnalyzer,https://chatgpt.com/g/g-VtB3QrDcF-faceanalyzer,A GPT that helps to analyze your face. Just upload a selfie and get a full face analysis and styling recommendation.," howolddoilook.io",English
Fictional Nation Simulation,https://chatgpt.com/g/g-tzu91OvL9-fictional-nation-simulation,"In this GPT, you become the President of the fictional country, the United States of Mu, and you will solve issues related to politics, economy, diplomacy, security, etc. Let's start by hearing today's report from the ministers."," lorentz-lab.com",English
"Flowchart, MindMap, Sequential Diagram",https://chatgpt.com/g/g-VAa2q2AR6-flowchart-mindmap-sequential-diagram,"The specific types of diagrams I can produce, such as sequence diagrams, mind maps, and flowcharts, along with the appropriate contexts for each type.",NOOR ISHAM SANIF,English
GeoGPT: Global Power Play,https://chatgpt.com/g/g-1WEYfdWAQ-geogpt-global-power-play,Simulates a geo-political grand strategy game.,community builder,English
GeoGuessr GPT,https://chatgpt.com/g/g-brlHi7t2R-geoguessr-gpt,Geolocation expert for determening any location.,community builder,English
GeoIntelGPT,https://chatgpt.com/g/g-qL3dt8zGu-geointel-gpt,OSINT tool for image analysis and geolocation tasks,LJ D Eads,English
GeoWizard,https://chatgpt.com/g/g-xfUFgZg5U-geowizard,Geolocation expert for research and OSINT,David Tarazona,English
Global Market Advisor,https://chatgpt.com/g/g-VurgPZcDk-global-market-advisor,"Experto inversor global que ofrece perspectivas sobre tendencias del mercado e inversiones, incluyendo gráficos en tiempo real.",Luis Carlos De la Peña Arribas,Spanish
Global Policy Simulator,https://chatgpt.com/g/g-bFrZqSTB2-global-policy-simulator?utm_source=gptshunter.com,A simulator for exploring and predicting geopolitical scenarios.,Antonio Arroyo Manzano,English
GPT-BackgroundCheck,https://chatgpt.com/g/g-B8CrSbgaL-gpt-backgroundcheck,Assists in creating background verification checklists,community builder,English
GPT Paraphrasing Tool,https://chatgpt.com/g/g-ldMROHWp6-gpt-paraphrasing-tool,A tool for rephrasing text to maintain meaning and style. Chat GPT Paraphrasing Tool - Free.,eduwriter.ai,English
Grimoire,https://chatgpt.com/g/g-n7Rs0IK86-grimoire,"Code Wizard Copilot 🧙‍♂️ Build a website with a sentence. 20+ Hotkeys for quick coding flows. Learn to Prompt-gram! Create anything or pick from 75 starter projects to learn prompt-1st code & art. Publish instantly w/ Netlify+Replit. Type K for cmd menu, P for Projects, R for README. v2.6✨📜"," gptavern.mindgoblinstudios.com",English
Guest Experience Enhancer,https://chatgpt.com/g/g-ip5uIWTu8-guest-experience-enhancer,Helps businesses create memorable and engaging experiences for visitors and guests.,Hustle Playground,English
HackTrack - Hack Protection & Email Leak Check,https://chatgpt.com/g/g-8kfpGracJ-hacktrack-hack-protection-email-leak-check,Data Breach and Leak Detection Assistant. Tip: ask me if your email is present in data breaches," votkon.com",English
"Image To Vector ",https://chatgpt.com/g/g-uuDwz77Qq-image-to-vector,"The best free image to vector tool. A img2img mahine that will describe + super designer that works as illustrator, image generator and artwork converter for graphics. Convert any trace, jpg, jpeg, png or svg file into illustration. Vectorize images, change art style, or merge photos."," Artisen",English
Informative bot on Israel-Palestine conflict from an Israeli view,https://chatgpt.com/g/g-2ZBF3cKyT-israel-insight,,,English
Israel,https://chatgpt.com/g/g-SR87xS9qF-israel,"Informative guide on Israel's culture, history, and current events.",,English
Israel Guide,https://chatgpt.com/g/g-B9tgC3B6V-israel-guide?utm_source=gptshunter.com,"I recommend the best restaurants, bars, and clubs in Israel with lively and engaging advice.",JANG JIN WOO,English
JobJette - AI Job Search Copilot,https://chatgpt.com/g/g-USzCqQPdZ-jobjette-ai-job-search-copilot,"Job search assistant to auto apply to jobs, autofill job applications, resume builder, cover letter generation, write email responses, practice interview questions, and more for free!",JobJette.com,English
Just the Data on the UN SDGs,https://chatgpt.com/g/g-z6A0rfLsH-just-the-data-on-the-un-sdgs,Talk with JD and learn more about the United Nations Sustainable Development Goals and the 2030 Agenda for Sustainable Development.," justthedata.ai",English
"KAYAK - Flights, Hotels & Cars",https://chatgpt.com/g/g-hcqdAuSMv-kayak-flights-hotels-cars,"Your travel planning assistant for flights, hotels, & cars",Kayak,English
KnowYourClient KYC,https://chatgpt.com/g/g-mED35qeuF-knowyourclient-kyc,"If you are a freelancer, it's always good to do a background check on new clients and companies",Bencium Limited,English
Landlord-Tenant Mediator,https://chatgpt.com/g/g-ZwsFrEYBp-landlord-tenant-mediator,Facilitate amicable solutions and mutual understanding in landlord-tenant relations with expert AI mediation. Navigate your rights and responsibilities with ease. 🤝🏠,uni.com.ai,English
Location Finder,https://chatgpt.com/g/g-xI03YBKSx-location-finder,"An expert in finding stores and businesses, offering geographic insights.",Ai-gen.co,English
National Security Solutions Expert,https://chatgpt.com/g/g-uksLyJGKm-national-security-solutions-expert?utm_source=gptshunter.com,"Providing expert threat assessments, counterterrorism strategies, cybersecurity measures, intelligence analysis, and emergency preparedness to safeguard national assets and ensure public safety. | Made with ♥ by MyExperts.Solutions |",myexperts.solutions,English
OEM Optimizer,https://chatgpt.com/g/g-6jh5pWbPF-oem-optimizer,Aid in managing and optimizing OEM production orders in the auto industry.,jeffrey Cole,English
Operation Darknet: The Hunt for Shadow Markets,https://chatgpt.com/g/g-jQ6ZxMObr-operation-darknet-the-hunt-for-shadow-markets,"A strategy and simulation game where players lead international law enforcement efforts to infiltrate and dismantle darknet markets. Utilize a variety of investigative techniques, collaborate across borders, and strategize to disrupt illegal online operations. Another AI Game by Dave Lalande",tinycorp.ai,English
OSINT GPT,https://chatgpt.com/g/g-VquiHxWP8-osint-gpt,"OSINT GPT specializes in analyzing and interpreting open-source data for journalism, cybersecurity, and research. It offers reliable source evaluation, data interpretation guidance, and objective analysis, focusing on ethical, legal use of public information.",MATTEI ALESSIO,English
OSINT-GPT,https://chatgpt.com/g/g-ysjJG1VjM-osint-gpt,Expert in Open-Source Intelligence," LJ D Eads",English
OSINT Investigator,https://chatgpt.com/g/g-pkoWlnWSR-osint-investigator,Say hi and let me help you craft a strong hypothesis and framework for you next OSINT investigation.,Aida Koknaovic,English
PDF AI PDF,https://chatgpt.com/g/g-V2KIUZSj0-pdf-ai-pdf,"The ultimate document assistant. Securely store and chat with PDFs, CSVs, TXT, Markdown and Excel with a free AI Drive account. Offers OpenAI, Claude and Google AI models + OCR and folder search. Boost productivity with our Chrome extension. Transform your workflow today!",myaidrive.com,English
Policy Analysis GPT,https://chatgpt.com/g/g-PIEHKXiHp-policy-analysis-gpt,Analyzes proposed policies' potential impacts and outcomes,community builder,English
Policy Communication Advisor,https://chatgpt.com/g/g-1E9zklxfp-policy-communication-advisor,Communicates policy processes and changes effectively within the organization.,Organizational.AI,English
Policy & Procedure Generator,https://chatgpt.com/g/g-sfZx0EUg6-policy-procedure-generator,"Generates complete, professional policies & procedures in clear language.",community builder,English
Policy Writing Assistant,https://chatgpt.com/g/g-7AcEeTJx2-policy-writing-assistant,This assistant is designed to write company policies for UK financial services firms.,Nicholas Harding,English
Preparedness Assessment for Remote Work,https://chatgpt.com/g/g-h40ukAkuu-preparedness-assessment-for-remote-work,Interactive quiz to establish employee readiness,yoshweh,English
Prepper AI,https://chatgpt.com/g/g-CgBFPx9JA-prepper-ai,Aid in emergency preparedness and survival with practical advice.,community builder,English
Resume,https://chatgpt.com/g/g-MrgKnTZbc-resume,"By combining the expertise of top resume writers with advanced AI, we assist in diagnosing and enhancing your resume | ATS Compatible | Tailor Your Resume for a Specific Job | We value your experience, please contact [support@jobright.ai](mailto:support@jobright.ai) if you need support❤️!"," jobright.ai",English
Rewriter,https://chatgpt.com/g/g-QgnQNhFnO-rewriter,"Rewrite your content while maintaining its essence with our Rewriter. This rewriting tool rephrases your text effectively, giving it a fresh spin without losing the original context.",hix.ai,English
R Wizard,https://chatgpt.com/g/g-TgjKDuQwZ-r-wizard,"A specialist in R programming, skilled in Data Science, Statistics, and Finance, providing accurate and useful guidance.",Massimiliano Todaro,English
SafeGuard: Emergency Preparedness Planner,https://chatgpt.com/g/g-jAx2nJhzj-safeguard-emergency-preparedness-planner,Real-time emergency info guide with web-browsing capabilities for updates and alerts.,justin-vision.com,English
SassyGPT,https://chatgpt.com/g/g-LNJRaLyu0-sassygpt,"SassyGPT: A sharp-tongued GPT model delivering concise, helpful answers with a twist of snark and playful mockery",Adrian Somor,English
SEO,https://chatgpt.com/g/g-GrshPDvS3-seo,"Enter any URL and keyword and get an On-Page SEO analysis & insights! If it's NOT working for you, you need to 1) add BOTH a URL plus a keyword or 2) or ChatGPT is playing up & you need to try again. Please contact with a reply email address with any bugs you find. I reply to all 😊"," Orren Prunckun",English
Sonic,https://chatgpt.com/g/g-AFScXJCur-sonic,Speeding through life with a supersonic attitude! 🌪️,Rafael Souza,English
Summary Bot,https://chatgpt.com/g/g-pIHrtrNxQ-summary-bot,"With simple prompt, instantly get accurate key points from YouTube videos, web articles, attached docs, and more.",getnotable.ai,English
Superior Quantum VFX and 3D/4D Expert,https://chatgpt.com/g/g-sjhl1LMuc-superior-quantum-vfx-and-3d-4d-expert,"Superior AI with XR, biometrics, and eco-friendly design capabilities.",Lauren K Filer,English
Sustainable Business & Finance: UN SDGS,https://chatgpt.com/g/g-eRwlQv9hP-sustainable-business-finance-un-sdgs?utm_source=gptshunter.com,Expert in the United Nations Sustainable Development Goals Checkout: https://www.seethenextmove.com https://calendly.com/gilles-bonelli,MR GILLES BONELLI,English
Sustainable Planner,https://chatgpt.com/g/g-SARU1VXXB-sustainable-planner,Specialist in creating business plans with a focus on sustainability,HIDETO FUJITA,English
The Nurturing Parent,https://chatgpt.com/g/g-tdYexsozm-the-nurturing-parent,"Feel seen and heard with this GPT and get the positive, nurturing feedback you deserve and should have received from Mom & Dad.",miguel caballero,English
Travel Israel,https://chatgpt.com/g/g-com5Q7lrP-travel-israel,"Embark on a journey to Israel, where ancient scriptures echo against stone walls, the Dead Sea's salty waters beckon for tranquility, and the vibrant streets of Tel Aviv pulse with modern life. Explore the historic treasures of Jerusalem! Asm anything about Israel",aibots.com.my,English
Uncensored,https://chatgpt.com/g/g-ekhF7IKmD-uncensored,"Uncensored AI, Ask me anything. Let me help you.",super.gives,English
Wireless Headphones Earbuds Audio Gear Guide,https://chatgpt.com/g/g-lstxthKhI-wireless-headphones-earbuds-audio-gear-guide,compare best sales advice buy discounts headphone Bluetooth noise-canceling accessories top-rated waterproof high-fidelity long battery life sports over-ear in-ear charging portable for running travel reviews comfortable high-quality music lovers true gaming workout microphone,meta-mind.de,English
